desc	char	movie
(whispers, sadistic)	cut	ferris bueller
(screams)	katie	ferris bueller
(breathless)	tom	ferris bueller
(worried)	katie	ferris bueller
(snaps)	katie	ferris bueller
(discreetly)	tom	ferris bueller
(whispers)	katie	ferris bueller
(raspy)	ferris	ferris bueller
(to Tom)	katie	ferris bueller
(annoyed)	katie	ferris bueller
(angry, defeated)	jeanie	ferris bueller
(to herself)	jeanie	ferris bueller
(worried)	cut	ferris bueller
(yells out the room)	cut	ferris bueller
(to Ferris)	katie	ferris bueller
(looks out the window)	ferris	ferris bueller
(sings)	ferris	ferris bueller
(snaps his fingers)	ferris	ferris bueller
(pause)	ferris	ferris bueller
(pause)	ferris	ferris bueller
(weak)	cameron	ferris bueller
(after-thought)	ferris	ferris bueller
(pause)	misc	ferris bueller
(weary)	misc	ferris bueller
(cheery)	misc	ferris bueller
(point to the phone)	ferris	ferris bueller
(to the phone)	ferris	ferris bueller
(to the Second Boy)	misc	ferris bueller
(excited)	misc	ferris bueller
(pause)	misc	ferris bueller
(to Third Boy)	misc	ferris bueller
(pause)	misc	ferris bueller
(pause)	misc	ferris bueller
(jaw drops)	misc	ferris bueller
(pause)	misc	ferris bueller
(impressed)	misc	ferris bueller
(looks at CAMERA and smiles)	ferris	ferris bueller
(to CAMERA, normal voice)	ferris	ferris bueller
(thinks)	ferris	ferris bueller
(to the phone, sick voice)	ferris	ferris bueller
(waves the magazine)	ferris	ferris bueller
(sings)	ferris	ferris bueller
(sneezes)	misc	ferris bueller
(whispers)	sloane	ferris bueller
(nods solemnly)	misc	ferris bueller
(pause)	misc	ferris bueller
(whispers)	rooney	ferris bueller
(to phone)	rooney	ferris bueller
(to Ferris)	cameron	ferris bueller
(clears his throat)	cameron	ferris bueller
(mouths)	ferris	ferris bueller
(aside)	ferris	ferris bueller
(suspiciously)	cameron	ferris bueller
(grim monotone)	cameron	ferris bueller
(suspicious)	cameron	ferris bueller
(big, proud smile)	ferris	ferris bueller
(look around at Cameron)	ferris	ferris bueller
(to CAMERA)	ferris	ferris bueller
(something occurs to her)	cut	ferris bueller
(polite laugh)	ferris	ferris bueller
(to Cameron)	cut	ferris bueller
(to Sloane)	cut	ferris bueller
(shifts gears, to Joyce)	cut	ferris bueller
(whispers)	cut	ferris bueller
(serious)	ferris	ferris bueller
(to Ferris)	cameron	ferris bueller
(to CAMERA)	ferris	ferris bueller
(to Cameron)	sloane	ferris bueller
(to CAMERA)	ferris	ferris bueller
(points to Sloane)	ferris	ferris bueller
(to Ferris)	misc	ferris bueller
(chuckles)	misc	ferris bueller
(to the Maitre'd)	ferris	ferris bueller
(grabs the phone)	ferris	ferris bueller
(mean, vicious)	jeanie	ferris bueller
(wicked pause)	jeanie	ferris bueller
(yells after her)	jeanie	ferris bueller
(continues)	ferris	ferris bueller
(remorsefully)	sloane	ferris bueller
(blank)	ferris	ferris bueller
(dramatic, deadly serious)	cameron	ferris bueller
(condescending)	jeanie	ferris bueller
(pause)	jeanie	ferris bueller
(to CAMERA)	ferris	ferris bueller
(quizical look)	ferris	ferris bueller
(to Sloane)	ferris	ferris bueller
(revolted)	sloane	ferris bueller
(pause)	ferris	ferris bueller
(to the intercom)	misc	ferris bueller
(continues)	misc	ferris bueller
(happy sigh)	misc	ferris bueller
(defeated)	rooney	ferris bueller
(pause)	cut	ferris bueller
(pause)	ferris	ferris bueller
(clears his voice, speaks into the mike, affects a "radio" voice)	ferris	ferris bueller
(to the kid)	katie	ferris bueller
(pause)	jeanie	ferris bueller
(matter-of-fact)	misc	ferris bueller
(to CAMERA)	ferris	ferris bueller
(sings)	misc	ferris bueller
(Cameron)	ferris	ferris bueller
(to the boy)	jeanie	ferris bueller
(to Rooney)	jeanie	ferris bueller
(to Ferris)	jeanie	ferris bueller
(shakes her head)	jeanie	ferris bueller
(to Todd)	cut	ferris bueller
(to Todd and Kimberly)	katie	ferris bueller
(deathly gasp)	ferris	ferris bueller
(happy sigh)	ferris	ferris bueller
