desc	char	movie
(as she descends)	brenda	sixteen candles
(phoney, pained)	mike	sixteen candles
(talks with the toothbrush in his mouth)	jim	sixteen candles
(to herself)	ginny	sixteen candles
(to Jim)	ginny	sixteen candles
(with a chuckle)	mike	sixteen candles
(raises an eyebrow)	mike	sixteen candles
(matter-of- factly)	mike	sixteen candles
(shouts)	mike	sixteen candles
(drops the hair)	sam	sixteen candles
(to the phone)	sam	sixteen candles
(pause, still looking in the mirror)	sam	sixteen candles
(with a closing sigh)	sam	sixteen candles
(bright, cheerful)	sam	sixteen candles
(to herself)	ginny	sixteen candles
(to herself, sarcastically)	sam	sixteen candles
(to Jim)	brenda	sixteen candles
(yells up the stairs)	brenda	sixteen candles
(to Brenda)	mike	sixteen candles
(yells)	mike	sixteen candles
(to Sam)	brenda	sixteen candles
(to Sam)	brenda	sixteen candles
(to Jim)	brenda	sixteen candles
(corrects him)	brenda	sixteen candles
(to Sam)	jim	sixteen candles
(kisses Sam's cheek)	brenda	sixteen candles
(laughs)	mike	sixteen candles
(weary)	brenda	sixteen candles
(to herself, incredulous)	sam	sixteen candles
(devastated)	sam	sixteen candles
(hesitant)	sam	sixteen candles
(incredulous)	randy	sixteen candles
(hurt)	sam	sixteen candles
(agrees)	sam	sixteen candles
(cautiously)	jake	sixteen candles
(takes offense)	jake	sixteen candles
(puzzled)	rock	sixteen candles
(frustrated)	jake	sixteen candles
(sighs)	jake	sixteen candles
(worried)	rock	sixteen candles
(with an exagerrated sigh)	sam	sixteen candles
(phoney)	ginny	sixteen candles
(annoyed)	sam	sixteen candles
(raises an eyebrow)	geek	sixteen candles
(phoney)	ginny	sixteen candles
(to herself)	sam	sixteen candles
(forces a smile)	sam	sixteen candles
(unenthusiastic)	sam	sixteen candles
(weary of the hoary old joke)	sam	sixteen candles
(clicks her tongue)	helen	sixteen candles
(to Fred)	helen	sixteen candles
(thick accent)	dong	sixteen candles
(angry)	brenda	sixteen candles
(to Sam)	brenda	sixteen candles
(hinting again)	sam	sixteen candles
(disappointed)	sam	sixteen candles
(suspicious)	sam	sixteen candles
(with sadistic glee)	mike	sixteen candles
(kidding)	sam	sixteen candles
(timidly)	sam	sixteen candles
(offended)	sam	sixteen candles
(pause)	ginny	sixteen candles
(sheepishly)	sam	sixteen candles
(puzzled)	dong	sixteen candles
